law_code	law_name	volume	book	bab	chapter	section	paragraph	article_number	text
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل اول - در اموال غیرمنقول			18	ماده 18- حق انتفاع از اشیای غیرمنقوله مثل حق عُمریٰ و سُکنیٰ و همچنین حق ارتفاق نسبت به ملک غیر از قبیل حقالعبور و حقالمجری و دعاوی راجعه به اموال غیرمنقوله از قبیل تقاضای خلع ید و امثال آن تابع اموال غیرمنقول است
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل دوم - در اموال منقوله			19	ماده 19- اشیائی که نقل آن از محلی به محل دیگر ممکن باشد بدون اینکه به خود یا محل آن خرابی وارد آید منقول است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل دوم - در اموال منقوله			20	ماده 20- کلیه دیون از قبیل قرض و ثمن مبیع و مالالاجاره عین مستأجره از حیث صلاحیت محاکم در حکم منقول است ولو اینکه مبیع یا عین مستأجره از اموال غیرمنقوله باشد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل دوم - در اموال منقوله			21	ماده 21- انواع کشتیهای کوچک و بزرگ و قایقها و آسیاها و حمامهایی که در روی رودخانه و دریاها ساخته میشود و میتوان آنها را حرکت داد و کلیه کارخانههایی که نظر به طرز ساختمان جزو بنای عمارتی نباشد داخل در منقولات است ولی توقیف بعضی از اشیای مزبوره ممکن است نظر به اهمیت آنها موافق ترتیبات خاصه به عمل آید.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل دوم - در اموال منقوله			22	ماده 22- مصالح بنایی از قبیل سنگ و آجر و غیره که برای بنایی تهیه شده یا به واسطه خرابی از بنا جدا شده باشد مادامی که در بنا بهکار نرفته داخل منقول است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل سوم - در اموالی که مالک خاص ندارد			23	ماده 23- استفاده از اموالی که مالک خاص ندارد مطابق قوانین مربوطه به آنها خواهدبود.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل سوم - در اموالی که مالک خاص ندارد			24	ماده 24- هیچکس نمیتواند طرق و شوارع عامه و کوچههایی را که آخر آنها مسدود نیست تملک نماید.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل سوم - در اموالی که مالک خاص ندارد			25	ماده 25- هیچکس نمیتواند اموالی را که مورد استفاده عموم است و مالک خاص ندارد از قبیل پلها و کاروانسراها و آبانبارهای عمومی و مدارس قدیمه و میدانگاههای عمومی تملک کند. و همچنین است قنوات و چاههایی که مورد استفاده عموم است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل سوم - در اموالی که مالک خاص ندارد			26	ماده 26- اموال دولتی که معد است برای مصالح یا انتفاعات عمومی مثل استحکامات و قلاع و خندقها و خاکریزهای نظامی و قورخانه و اسلحه و ذخیره و سفاین جنگی و همچنین اثاثیه و ابنیه و عمارات دولتی و سیمهای تلگرافی دولتی و موزهها و کتابخانههای عمومی و آثار تاریخی و امثال آنها و بالجمله آنچه از اموال منقوله و غیرمنقوله که دولت به عنوان مصالح عمومی و منافع ملی در تحت تصرف دارد، قابل تملک خصوصی نیست و همچنین اموالی که موافق مصالح عمومی به ایالت و ولایت یا ناحیه یا شهری اختصاص یافته باشد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل سوم - در اموالی که مالک خاص ندارد			27	ماده 27- اموالی که ملک اشخاص نمیباشد و افراد مردم میتوانند آنها را مطابق مقررات مندرجه در این قانون و قوانین مخصوصه مربوطه به هر یک از اقسام مختلفه آنها تملک کرده و یا از آنها استفاده کنند مباحات نامیده میشود مثل اراضی موات یعنی زمینهایی که معطل افتاده و آبادی و کشت و زرع در آنها نباشد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب اول - در بیان انواع اموال	فصل سوم - در اموالی که مالک خاص ندارد			28	ماده 28- اموال مجهولالمالک با اذن حاکم یا مأذون از قِبَل او به مصارف فقرا میرسد
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود				29	ماده 29- ممکن است اشخاص نسبت به اموال علاقههای ذیل را دارا باشند: 1- مالکیت (اعم از عین یا منفعت) 2- حق انتفاع 3- حق ارتفاق به ملک غیر
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل اول - در مالکیت			30	ماده 30- هر مالکی نسبت به مایملک خود حق همه گونه تصرف و انتفاع دارد مگر در مواردی که قانون استثنا کرده باشد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل اول - در مالکیت			31	ماده 31- هیچ مالی را از تصرف صاحب آن نمیتوان بیرون کرد مگر به حکم قانون.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل اول - در مالکیت			32	ماده 32- تمام ثمرات و متعلقات اموال منقوله و غیرمنقوله که طبعاً یا در نتیجه عملی حاصل شده باشد بالتبع مال مالک اموال مزبوره است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل اول - در مالکیت			33	ماده 33- نما و محصولی که از زمین حاصل میشود مال مالک زمین است چه به خودی خود روئیده باشد یا به واسطه عملیات مالک مگر اینکه نما یا حاصل از اصله یا حبه غیر حاصل شده باشد که در این صورت درخت و محصول، مال صاحب اصله یا حبه خواهد بود اگر چه بدون رضای صاحب زمین کاشته شده باشد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل اول - در مالکیت			34	ماده 34- نِتاج حیوانات در ملکیت، تابع مادر است و هر کس مالک مادر شد مالک نِتاج آن هم خواهد شد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل اول - در مالکیت			35	ماده 35- تصرف به عنوان مالکیت دلیل مالکیت است مگر اینکه خلاف آن ثابت شود.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل اول - در مالکیت			36	ماده 36- تصرفی که ثابت شود ناشی از سبب مُمَلِّک یا ناقل قانونی نبوده معتبر نخواهدبود.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل اول - در مالکیت			37	ماده 37- اگر متصرف فعلی اقرار کند که ملک سابقاً مال مدعی او بوده است در این صورت مشارالیه نمیتواند برای رد ادعای مالکیت شخص مزبور به تصرف خود استناد کند مگر اینکه ثابت نماید که ملک به ناقل صحیح به او منتقل شده است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل اول - در مالکیت			38	ماده 38- مالکیت زمین مستلزم مالکیت فضای مُحاذی آن است تا هرکجا بالا رود و همچنین است نسبت به زیر زمین بِالجمله مالک حق همه گونه تصرف در هوا و قرار دارد مگر آنچه را که قانون استثنا کرده باشد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل اول - در مالکیت			39	ماده 39- هر بنا و درخت که در روی زمین است و همچنین هر بنا و حفری که در زیر زمین است ملک مالک آن زمین محسوب میشود مگر اینکه خلاف آن ثابت شود.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع			40	ماده 40- حق انتفاع عبارت از حقی است که به موجب آن شخص میتواند از مالی که عین آن ملک دیگری است یا مالک خاصی ندارد استفاده کند.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		41	ماده 41- عُمریٰ حق انتفاعی است که به موجب عقدی از طرف مالک برای شخص به مدت عمر خود یا عمر منتفع و یا عمر شخص ثالثی برقرار شده باشد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		42	ماده 42- رُقبیٰ حق انتفاعی است که از طرف مالک برای مدت معینی برقرار میگردد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		43	ماده 43- اگر حق انتفاع عبارت از سکونت در مسکنی باشد سُکنیٰ یا حق سُکنیٰ نامیده میشود و این حق ممکن است به طریق عُمریٰ یا به طریق رُقبیٰ برقرار شود.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		44	ماده 44- در صورتی که مالک برای حق انتفاع مدتی معین نکرده باشد حبس مطلق بوده و حق مزبور تا فوت مالک خواهد بود مگر اینکه مالک قبل از فوت خود رجوع کند.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		45	ماده 45- در موارد فوق حق انتفاع را فقط درباره شخص یا اشخاصی میتوان برقرار کرد که در حین ایجاد حق مزبور وجود داشته باشند ولی ممکن است حق انتفاع تَبَعاً برای کسانی هم که در حین عقد به وجود نیامدهاند برقرار شود و مادامی که صاحبان حق انتفاع موجود هستند حق مزبور باقی و بعد از انقراض آنها حق زائل میگردد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		46	ماده 46- حق انتفاع ممکن است فقط نسبت بمالی برقرار شود که استفاده از آن با بقای عین ممکن باشد اعم از اینکه مال مزبور منقول باشد یا غیرمنقول و مشاع باشد یا مفروز.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		47	ماده 47- در حبس اعم از عُمریٰ و غیره، قبض شرط صحت است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		48	ماده 48- منتفع باید از مالی که موضوع حق انتفاع است سوءاستفاده نکرده و در حفاظت آن تعدی یا تفریط ننماید.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		49	ماده 49- مخارج لازمه برای نگاهداری مالی که موضوع انتفاع است بر عهده منتفع نیست مگر اینکه خلاف آن شرط شده باشد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		50	ماده 50- اگر مالی که موضوع حق انتفاع است بدون تعدی یا تفریط منتفع تلف شود مشارالیه مسئول آن نخواهد بود.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		51	ماده 51- حق انتفاع در موارد ذیل زایل میشود: 1- در صورت انقضای مدت 2- در صورت تلف شدن مالی که موضوع انتفاع است
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		52	ماده 52- در موارد ذیل منتفع ضامن تضررات مالک است: 1- در صورتی که منتفع از مال موضوع انتفاع سوءاستفاده کند 2- در صورتی که شرایط مقرره از طرف مالک را رعایت ننماید و این عدم رعایت موجب خسارتی بر موضوع حق انتفاع باشد.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		53	ماده 53- انتقال عین از طرف مالک به غیر موجب بطلان حق انتفاع نمیشود ولی اگر منتقلٌالیه جاهل باشد که حق انتفاع متعلق به دیگری است اختیار فسخ معامله را خواهد داشت.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث اول - در عمری و رقبی و سکنی		54	ماده 54- سایر کیفیات انتفاع از مال دیگری به نحوی خواهد بود که مالک قرار داده یا عرف و عادت اقتضا بنماید.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		55	ماده 55- وقف عبارتست از اینکه عین مال حبس و منافع آن تسبیل شود.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		56	ماده 56- وقف واقع میشود به ایجاب از طرف واقف به هر لفظی که صراحتاً دلالت بر معنی آن کند و قبول طبقه اول از موقوفٌعلیهم یا قائممقام قانونی آنها در صورتی که محصور باشند مثل وقف بر اولاد و اگر موقوفٌعلیهم غیر محصور یا وقف بر مصالح عامه باشد در این صورت قبول حاکم شرط است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		57	ماده 57- واقف باید مالک مالی باشد که وقف میکند و بعلاوه دارای اهلیتی باشد که در معاملات معتبر است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		58	ماده 58- فقط وقف مالی جائز است که با بقای عین بتوان از آن منتفع شد اعم از اینکه منقول باشد یا غیرمنقول مشاع باشد یا مفروز.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		59	ماده 59- اگر واقف عین موقوفه را به تصرف وقف ندهد وقف محقق نمیشود و هر وقت به قبض داد وقف تحقق پیدا میکند.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		60	ماده 60- در قبض فوریت شرط نیست بلکه مادامی که واقف رجوع از وقف نکرده است هر وقت قبض بدهد وقف تمام میشود.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		61	ماده 61- وقف بعد از وقوع آن به نحو صحت و حصول قبض لازم است و واقف نمیتواند از آن رجوع کند یا در آن تغییری بدهد یا از موقوفعلیهم کسی را خارج کند یا کسی را داخل در موقوفعلیهم نماید یا با آنها شریک کند یا اگر در ضمن عقد متولی معین نکرده بعد از آن متولی قرار دهد یا خود به عنوان تولیت دخالت کند.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		62	ماده 62- در صورتی که موقوفعلیهم محصور باشند خود آنها قبض میکنند و قبض طبقه اولی کافی است و اگر موقوفعلیهم غیر محصور یا وقف بر مصالح عامه باشد متولی وقف و الا حاکم قبض میکند.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		63	ماده 63- ولی و وصی محجورین از جانب آنها موقوفه را قبض میکنند و اگر خود واقف تولیت را برای خود قرار داده باشد قبض خود او کفایت میکند.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		64	ماده 64- مالی را که منافع آن موقتاً متعلق به دیگری است میتوان وقف نمود و همچنین وقف ملکی که در آن حق ارتفاق موجود است جائز است بدون اینکه به حق مزبور خللی وارد آید.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		65	ماده 65- صحت وقفی که به علت اضرار دیان واقف واقع شده باشد منوط به اجازه دیان است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		66	ماده 66- وقف بر مقاصد غیر مشروع باطل است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		67	ماده 67- مالی که قبض و اقباض آن ممکن نیست وقف آن باطل است لیکن اگر واقف تنها قادر بر اخذ و اقباض آن نباشد و موقوفعلیه قادر به اخذ آن باشد صحیح است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		68	ماده 68- هر چیزی که طبعاً یا بر حسب عرف و عادت جزء یا از توابع و متعلقات عین موقوفه محسوب میشود داخل در وقف است مگر اینکه واقف آن را استثنا کند به نحوی که در فصل بیع مذکور است.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		69	ماده 69- وقف بر معدوم صحیح نیست مگر به تبع موجود.
qanun_madani	قانون مدنی	جلد اول - در اموال	کتاب اول - در بیان اموال و مالکیت به‌طور کلی	باب دوم - در حقوق مختلفه که برای اشخاص نسبت به اموال حاصل می‌شود	فصل دوم - در حق انتفاع	مبحث دوم - در وقف		70	ماده 70- اگر وقف بر موجود و معدوم معاً واقع شود نسبت به سهم موجود صحیح و نسبت به سهم معدوم باطل است.
