law_code	law_name	section	article_number	text
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	11	ماده 11- اعضای هیئتمدیره از طریق انتخابات تعیین خواهند شد. جهت نظارت بر انتخابات هیئتمدیره، هیئت نظارت با عضویت رئیس کانون بهعنوان رئیس هیئت نظارت و 4 عضو اصلی و دو عضو علیالبدل تشکیل میشود. هیئتمدیره کانون، پنج ماه پیش از پایان هر دوره، اعضای اصلی و علیالبدل را با رأی مخفی از بین وکلای پایه یک دارای حداقل چهل سال سن و ده سال سابقه وکالت که حق حضور در هیئت عمومی را داشته و خارج از هیئتمدیره فعلی بوده و داوطلب عضویت در هیئتمدیره آن دوره نباشند، انتخاب میکند. در صورت عدم حضور یا عذر هریک از اعضای اصلی عضو علیالبدل جایگزین آن خواهد شد. تبصره 1- درصورتیکه رئیس کانون داوطلب عضویت در هیئتمدیره بعد باشد، رئیس هیئت نظارت را نیز هیئتمدیره با لحاظ شرایط فوق تعیین خواهد کرد. تبصره 2- در این ماده و همچنین در هر موردی که در این آییننامه احراز سمت یا انجام اقدامی منوط به سابقه وکالت باشد، سابقه قضایی بهعنوان سابقه وکالت پایه یک محاسبه میشود، مگر اینکه در قانون به نحو دیگری مقرر شده باشد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	12	ماده 12- صورت اسامی و مشخصات وکلایی که به موجب قانون حق انتخاب کردن و انتخاب شدن دارند، ظرف یک هفته از تاریخ انتخاب هیئت نظارت، از طرف کانون به هیئت مزبور داده میشود. هیئت نظارت حداکثر یک هفته پس از انتخاب شدن، تشکیل جلسه میدهد و اطلاعیه ثبتنام از داوطلبان عضویت در هیئتمدیره را در پایگاه اطلاعرسانی کانون و عنداللزوم با استفاده از سایر روشهای اطلاعرسانی منتشر میکند و داوطلبان مقیم استان مقر کانون ظرف دو هفته بعد از درج اطلاعیه، در محل تعیین شده توسط هیئت نظارت ثبتنام میکنند.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	13	ماده 13- هیئت نظارت ظرف ده روز پس از اتمام مهلت ثبتنام، وجود شرایط قانونی موضوع مواد 2 و 4 قانون کیفیت اخذ پروانه در داوطلبان را بررسی و اسامی واجدان شرایط را به همراه کلیه مستندات به دادگاه عالی ارسال میکند. در مورد داوطلبانی که وجود شرایط قانونی در مورد آنان احراز نگردیده است، علت عدم احراز شرایط به آنان ابلاغ میشود. افراد اخیر میتوانند ظرف پنج روز پس از ابلاغ، از تصمیم هیئت نظارت به دادگاه عالی شکایت کنند. شعبه رسیدگیکننده، در صورت نقض تصمیم هیئت نظارت، همزمان با سایر داوطلبان در مورد صلاحیت این عده نیز اعلام نظر خواهد کرد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	14	ماده 14- دادگاه عالی حداکثر ظرف مدت 2 ماه از زمان دریافت اسامی داوطلبان از هیأت نظارت، در مورد احراز یا عدم احراز صلاحیت داوطلبان اظهار نظر مینماید. چنانچه از نظر دادگاه عالی، صلاحیت داوطلب مورد تردید باشد، عند الاقتضاء وی را دعوت و پس از استماع دفاعیات او در جلسه حضوری براساس قوانین و مقررات اتخاذ تصمیم میکند عدم اعلام نظر دادگاه عالی ظرف مدت مقرر به منزله تأیید داوطلبانی است که از سوی هیأت نظارت واجد شرایط اعلام شده اند. در صورتی که حداکثر تا یک ماه پیش از برگزاری انتخابات اطلاعات مدارک و یا مستندات جدیدی به دست آید که در تصمیم قبلی این دادگاه مؤثر باشد دادگاه مذکور میتواند براساس مدارک و مستندات جدید التحصیل در مورد رد یا تأیید صلاحیت داوطلبان اظهار نظر کند. تبصره (اصلاحی 1402/4/11)-دادگاه عالی در مقام رسیدگی به صلاحیت داوطلبان، سوابق آنان را از مراجع ذی ربط از قبیل وزارت اطلاعات، مرکز حفاظت و اطلاعات قوه قضاییه، اداره کل سجل کیفری و نیز دادسرای انتظامی قضات استعلام میکند. بدیهی است عدم ارسال پاسخ از سوی مراجع مذکور در مهلت تعیین شده توسط دادگاه عالی، مانع از تصمیم گیری دادگاه مذکور نیست.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	15	ماده 15- هیئت نظارت ظرف پنج روز از تاریخ دریافت اسامی واجدان شرایط از دادگاه عالی، زمان و مکان تشکیل هیئت عمومی برای انتخاب هیئتمدیره را تعیین و در پایگاه اطلاعرسانی کانون و عنداللزوم استفاده از سایر روشهای اطلاعرسانی، منتشر میکند. فاصله بین آگهی مندرج در پایگاه اطلاعرسانی کانون و روز جلسه نباید کمتر از بیست روز باشد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	16	ماده 16- چنانچه روز جلسه مصادف با تعطیلی،باشد ضمن اطلاع رسانی جلسه روز بعد تشکیل می شود. در صورتی که مطابق نظر هیأت نظارت برگزاری انتخابات در مهلت مقرر به دلیل شرایط خاص مقدور نباشد تا رفع حالت اضطرار، هیات مدیره به فعالیت خود ادامه می دهد و صرفاً در مورد مسائل ضروری کانون تصمیم گیری میکند. بعد از مرتفع شدن حالت اضطرار حداکثر ظرف یک هفته فرآیند برگزاری انتخابات ادامه می یابد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	17	ماده 17- در زمان و مکان مقرر، جلسه هیئت عمومی با حضور هر عده که حاضر باشند، تشکیل و بدواً هیئت نظارت صندوق اخذ آراء را برای اطمینان از خالی بودن آن به حاضران ارائه داده، لاک و مهر میکند و سپس رأیگیری شروع میشود. از بیست و چهار ساعت قبل از شروع جلسه هیئت عمومی، هرگونه تبلیغ و به هر طریق در موافقت یا مخالفت اشخاص در مکان رأیگیری و خارج از آن به کلی ممنوع است. تبصره- در صورت فراهم بودن امکانات فنی، به تشخیص هیئت نظارت، برگزاری تمام یا بخشی از انتخابات از جمله تشکیل جلسه هیئت عمومی و رأیگیری و شمارش آراء، بهصورت الکترونیکی و یا برخط مجاز است.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	18	ماده 18- انتخاب جمعی و مخفی است و رأی باید روی اوراقی که به مهر هیئت نظارت رسیده و در آن به تعداد اعضای اصلی ردیف شمارهدار پیش بینی شده، نوشته شود. هر رأیدهنده، پس از ارائه پروانه وکالت خود و امضاء در فهرست اسامی واجدین شرایط، رأی خود را در صندوق آرا میاندازد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	19	ماده 19- حق رأی کسانی که تا پایان جلسه حاضر نشده و رأی ندهند، ساقط است.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	20	ماده 20- پس از اتمام اخذ آراء، اگر وقت کافی باشد شروع به قرائت آراء میشود و در غیر این صورت، هیئت نظارت صندوق را لاک و مهر کرده و روز بعد شروع به استخراج مینماید و بر هر ورقه که قرائت شده مهر «قرائت شد» زده و ضبط خواهد شد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	21	ماده 21- آرائی که دارای نشان یا امضاء باشد، باطل است و اسامی مکرر حساب نمیشود و اسامی زائد بر عدهای که باید انتخاب شوند، قرائت نخواهد شد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	22	ماده 22- آراء قرائت شده پس از قرائت، در صندوق ضبط و از طرف هیئت نظارت لاک و مهر شده و تا انقضاء مدت شکایت یا حصول نتیجه شکایت، محفوظ خواهد ماند تا در صورت احتیاج مورد رسیدگی واقع شود و بعد امحاء خواهد شد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	23	ماده 23- از بین منتخبان کسانی که دارای رأی بیشتر هستند، عضو اصلی و کسانی که بعد از اعضاء اصلی بیش از سایرین دارای رأی میباشند، عضو علیالبدل هستند. تبصره- در صورت تساوی آراء، هیئت نظارت عضو اصلی یا علیالبدل را به قید قرعه انتخاب میکند.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	24	ماده 24- مدت شکایت از جریان انتخابات تا سه روز پس از اعلام نتایج و انتشار اسامی و تعداد آرای منتخبان در پایگاه اطلاعرسانی کانون است. مرجع رسیدگی به شکایات هیئت نظارت است. هیئت نظارت باید ظرف سه روز به شکایات واصله رسیدگی و نتیجه را در پایگاه اطلاعرسانی کانون اعلام نماید.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	25	ماده 25- هر کس که به تصمیم هیئت نظارت معترض است، میتواند بهوسیله دفتر کانون به دادگاه عالی شکایت نماید. مدت این شکایت سه روز از تاریخ اعلام تصمیم هیئت نظارت است و دادگاه مزبور ظرف ده روز از تاریخ وصول شکایت، رسیدگی و رأی خواهد داد و رأی مزبور قطعی است.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	26	ماده 26- پس از اتمام انتخابات و تعیین نتیجه قطعی، رئیس هیئت نظارت اسامی منتخبین را اعلام و آنان را برای تشکیل هیئتمدیره قبل از تاریخ هفتم اسفندماه دعوت مینماید و پسازآن هیئت نظارت منحل میشود.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش دوم- انتخاب هیئت‌مدیره	27	ماده 27- در صورت ابطال انتخابات، تجدید آن بر طبق مقررات فوق خواهد بود؛ در این صورت، تا تعیین هیئتمدیره جدید، هیئتمدیره و هیئت نظارت سابق به جز کسانی که به تشخیص دادگاه عالی تخلف آنان در ابطال انتخابات مؤثر بوده است، انجام وظیفه خواهد نمود. هیئت نظارت باید حداکثر ظرف یک هفته پس از ابلاغ ابطال انتخابات، اقدامات قانونی را جهت برگزاری انتخابات مجدد انجام دهد. چنانچه دلیل ابطال انتخابات بر اساس حکم دادگاه عالی، تخلف هیئت نظارت باشد، هیئتمدیره ظرف یک هفته هیئت نظارت جدید را بر اساس مقررات این آییننامه انتخاب میکند. درهرحال کلیه کسانی که تخلف آنها در ابطال انتخابات مؤثر بوده است، بهموجب مقررات این آییننامه مورد تعقیب انتظامی قرار میگیرند.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش سوم- انتخابات هیئت‌رئیسه کانون و وظایف آن	28	ماده 28- جلسه هیئتمدیره منتخب برای انتخاب هیئترئیسه با حضور اعضای اصلی و به ریاست مسنترین عضو تشکیل میشود و جوانترین عضو نیز دبیر (منشی) جلسه خواهد بود. در صورت غیبت یک یا چند نفر از اعضای اصلی در نخستین جلسه، ظرف حداکثر پنج روز، جلسه بعد با حضور اکثریت اعضای اصلی تشکیل خواهد شد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش سوم- انتخابات هیئت‌رئیسه کانون و وظایف آن	29	ماده 29- هیئتمدیره در کانون مرکز (تهران)، از میان خود یک نفر رئیس، دو نفر نایبرئیس، دو منشی و دو بازرس و در دیگر کانونها یک رئیس، یک نایبرئیس، یک منشی و یک بازرس با رأی مخفی برای مدت یک سال انتخاب میکند.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش سوم- انتخابات هیئت‌رئیسه کانون و وظایف آن	30	ماده 30- انتخاب هیئترئیسه، به ترتیب رئیس، نائب رئیس، بازرس و منشی، بهطور متوالی، فردی و مخفی به عمل میآید. رئیس هیئتمدیره در کانون مرکز (تهران) باید لااقل دارای هشت رأی و در سایر کانونها دارای چهار رأی باشد. اگر در دفعه اول اکثریت مذکور به دست نیامد، در دفعه دوم، که میتواند در همان جلسه باشد، اکثریت نسبی ملاک خواهد بود. تبصره - در صورت تساوی آراء در نوبت دوم، فردی انتخاب میشود که در هیئت عمومی رأی بیشتری را به دست آورده باشد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش سوم- انتخابات هیئت‌رئیسه کانون و وظایف آن	31	ماده 31- وظایف و اختیارات رئیس کانون عبارت است از: 1- بیان مواضع و نمایندگی قانونی کانون در مراجع رسمی؛ 2- مسئولیت انجام امور، فعالیتها، اعمال اداری، مالی و حقوقی کانون؛ 3- حل اختلاف وکلا و کارآموزان با یکدیگر در امور وکالتی، نظارت بر اعمال و رفتار آنان، تذکر کتبی خطا یا انحرافات شغلی آنان و ارجاع تعقیب انتظامی وکیل متخلف به دادسرای انتظامی؛ 4- ارجاع گزارشها و شکایتها به مراجع انتظامی کانون؛ 5- دعوت هیئت عمومی وکلا، دعوت هیئتمدیره، ریاست جلسه، حضور در تمامی جلسات هیئتمدیره، تعیین دستور جلسه، اجرای تصمیمات هیئتمدیره و گزارش فعالیتها و اقدامات به هیئتمدیره؛ 6- ریاست مستقیم بر دوایر داخلی و کارکنان کانون و عزل و نصب، استخدام و اخراج آنان مطابق مقررات؛ 7- سایر وظایف و اختیاراتی که بهموجب قانون یا این آییننامه بر عهده رئیس کانون گذاشته شده یا میشود. تبصره 1- سقف اختیارات مالی رئیس کانون، در ابتدای هر سال در چارچوب قوانین و مقررات مربوط به تصویب هیئتمدیره میرسد و در هر صورت از معادل نصف حد نصاب مقرر در معاملات متوسط موضوع قانون برگزاری مناقصات مصوب 11/3/1383 و اصلاحات بعدی آن، بیشتر نخواهد بود. در مورد معاملات بیشتر از نصاب مذکور، هر معامله باید به تصویب هیئتمدیره برسد. هیئتمدیره کانون در پایان هر سال گزارش درآمد و هزینهها را به تفصیل از طریق پایگاه اطلاعرسانی کانون منتشر میکند. تبصره 2- تقسیمکار و وظایف بین اعضای هیئترئیسه، در آییننامه داخلی کانون تعیین خواهد شد.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش سوم- انتخابات هیئت‌رئیسه کانون و وظایف آن	32	ماده 32- در غیاب یا معذوریت رئیس کانون، نایبرئیس، اداره جلسات را به عهده داشته و همچنین هر مسئولیتی را که از سوی رئیس کانون ارجاع شود، میپذیرد. چنانچه به هر دلیلی جایگاه رئیس کانون بلا تصدی باقی بماند، تا تعیین رئیس جدید که حداکثر ظرف یک ماه باید انجام شود، نایبرئیس، وظایف و اختیارات رئیس را به عهده خواهد داشت.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش سوم- انتخابات هیئت‌رئیسه کانون و وظایف آن	33	ماده 33- وکلا نمیتوانند بهطور همزمان دو سمت از سمتهای زیر را داشته باشند: عضویت اصلی در هیئتمدیره، دادسرا و دادگاه انتظامی، کمیسیونهای کارآموزی و ترفیعات و اداره معاضدت.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش سوم- انتخابات هیئت‌رئیسه کانون و وظایف آن	34	ماده 34- جلسات هیئتمدیره با حضور اعضای اصلی تشکیل میشود. در کانون مرکز (تهران) حضور هشت عضو اصلی و در سایر کانونها سه عضو اصلی برای رسمیت الزامی است. مصوبات هیئتمدیره در کانون مرکز (تهران) با اکثریت مطلق آرای اعضای اصلی حاضر در جلسه و در سایر کانونها با حداقل سه رأی اعضای اصلی معتبر است. در صورت تساوی آراء، رأی گروهی که مشتمل بر رأی رئیس جلسه باشد، معتبر خواهد بود.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش سوم- انتخابات هیئت‌رئیسه کانون و وظایف آن	35	ماده 35- در طول دوره فعالیت هیئتمدیره، تجدید انتخاب اعضای هیئترئیسه (فردی یا جمعی) هر چند نوبت جایز است. تصمیم به تجدید انتخاب، نیاز به رأی دوسوم اعضای اصلی هیئتمدیره دارد. انتخابات میاندوره مطابق نصاب ماده 30 این آییننامه انجام میشود.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش سوم- انتخابات هیئت‌رئیسه کانون و وظایف آن	36	ماده 36- درصورتیکه یکی از اعضای اصلی هیئتمدیره، بدون عذر موجه پنج جلسه متوالی یا ده جلسه متناوب در جلسات عادی هیئتمدیره غیبت کند یا در صورت فوت، استعفا، انتقال، بازنشستگی و نظایر آن، یکی از اعضای علیالبدل که رأی او بیشتر است، بهعنوان عضو اصلی جایگزین میشود. عضو جایگزین مشمول ممنوعیت انتخاب بیش از دو دوره متوالی است. تبصره 1- منظور از عذر موجه در این ماده و سایر موارد مقرر در این آییننامه مصادیق مذکور در ماده 306 قانون آیین دادرسی دادگاههای عمومی و انقلاب در امور مدنی، مصوب 1379 است. تبصره 2- تشخیص معاذیر و موانع مقرر در این ماده بر عهده هیئتمدیره است.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش چهارم- آزمون ورودی، پروانه وکالت و کارآموزی	37	ماده 37- پذیرش کارآموز وکالت با رعایت مقررات قانونی و با احراز صلاحیتهای لازم بهصورت رقابتی و سالانه مطابق ماده 1 قانون کیفیت اخذ پروانه صورت میگیرد؛ پذیرش برای هر کانون با توجه به شاخصهایی از قبیل جمعیت استان، سرانه پرونده، تشکیلات قضایی، تعداد پروندههای دارای وکیل و تعداد وکلا و کارآموزان آن استان تعیین میشود.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش چهارم- آزمون ورودی، پروانه وکالت و کارآموزی	38	ماده 38- آزمون ورودی در هر سال بهصورت همزمان در کلیه کانونهای سراسر کشور از طریق سازمان سنجش و آموزش کشور برگزار میشود. چگونگی برگزاری آزمون ورودی، شرایط داوطلبان و مدارک مورد نیاز، زمان و مدت ثبتنام در آگهی مربوط که از طریق پایگاه اطلاعرسانی کانونها منتشر میشود، به اطلاع متقاضیان میرسد. در آگهی آزمون، شرایط و موانع مقرر در قانون ازجمله شرایط مقرر در ماده 2 قانون کیفیت اخذ پروانه و موانع مذکور ماده 10 لایحه استقلال، باید تصریح شود. چنانچه در هر مرحله پس از قبولی فقدان هر یک از شرایط مقرر احراز شود، قبولی متقاضی کان لم یکن تلقی شده و در صورت صدور پروانه کارآموزی، به حکم دادگاه انتظامی پروانه وی ابطال میشود.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش چهارم- آزمون ورودی، پروانه وکالت و کارآموزی	39	ماده 39- متقاضیان باید کانون موردنظر خود را در آزمون تعیین کنند و در صورت پذیرش، بر اساس نمره اکتسابی صرفاً در یکی از شهرهای استان همان کانون، کارآموزی کرده سپس به وکالت مشغول شوند.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش چهارم- آزمون ورودی، پروانه وکالت و کارآموزی	40	ماده 40- منابع سؤالات آزمون، دروس حقوقی در حد مقطع کارشناسی و شامل: حقوق اساسی، حقوق تجارت، حقوق کیفری، حقوق مدنی، آیین دادرسی مدنی، آیین دادرسی کیفری، اصول و مبانی استنباط و متون فقهی در حد تحریرالوسیله امام خمینی (ره) است.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش چهارم- آزمون ورودی، پروانه وکالت و کارآموزی	41	ماده 41- داوطلبانی که حداقل هفتاد درصد امتیاز میانگین نمرات یک درصد حائزان بالاترین امتیاز را براساس نمره تراز شده کسب کرده اند، جهت طی مراحل مقتضی معرفی میگردند.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش چهارم- آزمون ورودی، پروانه وکالت و کارآموزی	42	ماده 42- در اجرای تبصره 2 ماده 5 قانون تسهیل صدور مجوزهای کسب و کار و ماده 59 قانون جامع خدمات رسانی به ایثارگران، نصاب مذکور در ماده فوق حداقل 60 درصد میباشد. این متقاضیان علاوه بر کسب نمره قبولی مذکور، باید شرایط مقرر در ماده 2 قانون کیفیت اخذ پروانه را دارا باشند
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش چهارم- آزمون ورودی، پروانه وکالت و کارآموزی	43	ماده 43- قبولشدگان در آزمون و سایر متقاضیان پروانه وکالت و کارآموزی، باید فرم تقاضانامه را با مفاد زیر، تکمیل و ارائه کنند: 1- مشخصات فردی متقاضی؛ 2- نشانی محل اقامت؛ 3- سوابق شغلی قبلی و حین تقاضا؛ 4- تصریح به نداشتن پیشینه مؤثر و غیر مؤثر کیفری و محکومیت انتظامی و در صورت داشتن چنین سابقهای، ذکر نوع جرم و تخلف ارتکابی، حکمی که صادر شده، مجازاتی که تعیین شده و وضعیت اجرای آن؛ 5 - تصریح به وجود یا فقدان هر نوع پرونده مفتوح کیفری در مراجع قضایی؛ 7- تصریح به سلامت روان؛ 7- تصریح به عدم اعتیاد به مواد مخدر، روانگردان و مسکر؛ 8- تصریح به عدم اشتغال در شغل دولتی و سایر ارگانها و نهادهای مذکور در بند 2 ماده 10 لایحه استقلال و عدم شمول قانون ممنوعیت تصدی بیش از یک شغل مصوب 1373/10/11 با الحاقات بعدی.
aeename_kanun_vokala_1400	آیین نامه لایحه قانونی استقلال کانون وکلای دادگستری مصوب ۱۴۰۰	بخش چهارم- آزمون ورودی، پروانه وکالت و کارآموزی	44	ماده 44- تقاضانامه باید دارای ضمایم زیر باشد: 1- تصویر مصدق کلیه صفحات شناسنامه و کارت ملی؛ 2- تصویر مصدق مدرک تحصیلی موضوع ماده 46 این آییننامه، تاریخ فارغالتحصیلی باید قبل از تاریخ ثبتنام آزمون ورودی باشد؛ 3- تصویر مصدق کارت پایان خدمت یا معافیت دائم از خدمت وظیفه عمومی؛ تاریخ پایان خدمت یا معافیت باید قبل از تاریخ ثبتنام آزمون ورودی باشد؛ 4- گواهی سلامت روان به تأیید پزشکی قانونی یا یکی از مراکز مشاوره مورد تأیید پزشکی قانونی؛ 5- چهار قطعه عکس.
