law_code	law_name	book	bab	chapter	section	article_number	text
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		11	ماده 11- دعوا باید در دادگاهی اقامه شود که خوانده، در حوزه قضایی آن اقامتگاه دارد و اگر خوانده در ایران اقامتگاه نداشته باشد، در صورتی که در ایران محل سکونت موقت داشته باشد، در دادگاه همان محل باید اقامه گردد و هرگاه در ایران اقامتگاه و یا محل سکونت موقت نداشته ولی مال غیرمنقول داشته باشد، دعوا در دادگاهی اقامه میشود که مال غیرمنقول در حوزه آن واقع است و هرگاه مال غیرمنقول هم نداشته باشد، خواهان در دادگاه محل اقامتگاه خود، اقامه دعوا خواهد کرد. تبصره- حوزه قضایی عبارت است از قلمرو یک بخش یا شهرستان که دادگاه در آن واقع است. تقسیمبندی حوزه قضایی به واحدهایی از قبیل مجتمع یا ناحیه، تغییری در صلاحیت عام دادگاه مستقر در آن نمیدهد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		12	ماده 12- دعاوی مربوط به اموال غیرمنقول اعم از دعاوی مالکیت، مزاحمت، ممانعت از حق، تصرف عدوانی و سایر حقوق راجع به آن در دادگاهی اقامه میشود که مال غیرمنقول در حوزه آن واقع است، اگرچه خوانده در آن حوزه مقیم نباشد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		13	ماده 13- در دعاوی بازرگانی و دعاوی راجع به اموال منقول که از عقود و قراردادها ناشی شده باشد، خواهان میتواند به دادگاهی رجوع کند که عقد یا قرارداد در حوزه آن واقع شده است یا تعهد میبایست در آنجا انجام شود.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		14	ماده 14- درخواست تأمین دلایل و امارات از دادگاهی میشود که دلایل و امارات مورد درخواست در حوزه آن واقع است.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		15	ماده 15- در صورتی که موضوع دعوا مربوط به مال منقول و غیرمنقول باشد، در دادگاهی اقامه دعوا میشود که مال غیرمنقول در حوزه آن واقع است، به شرط آنکه دعوا در هر دو قسمت، ناشی از یک منشأ باشد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		16	ماده 16- هرگاه یک ادعا راجع به خواندگان متعدد باشد که در حوزههای قضائی مختلف اقامت دارند یا راجع به اموال غیرمنقول متعددی باشد که در حوزههای قضائی مختلف واقع شدهاند، خواهان میتواند به هر یک از دادگاههای حوزههای یادشده مراجعه نماید.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		17	ماده 17- هر دعوایی که در اثنای رسیدگی به دعوای دیگر از طرف خواهان یا خوانده یا شخص ثالث یا از طرف متداعیین اصلی بر ثالث اقامه شود، دعوای طاری نامیده میشود. این دعوا اگر با دعوای اصلی مرتبط یا دارای یک منشأ باشد، در دادگاهی اقامه میشود که دعوای اصلی در آنجا اقامه شده است.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		18	ماده 18- عنوان احتساب، تهاتر یا هر اظهاری که دفاع محسوب شود، دعوای طاری نبوده، مشمول ماده (17) نخواهد بود.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		19	ماده 19- هرگاه رسیدگی به دعوا منوط به اثبات ادعایی باشد که رسیدگی به آن در صلاحیت دادگاه دیگری است، رسیدگی به دعوا تا اتخاذ تصمیم از مرجع صلاحیتدار متوقف میشود. در این مورد، خواهان مکلف است ظرف یک ماه در دادگاه صالح اقامه دعوا کند و رسید آن را به دفتر دادگاه رسیدگیکننده تسلیم نماید، در غیر این صورت قرار ردّ دعوا صادر میشود و خواهان میتواند پس از اثبات ادعا در دادگاه صالح مجدداً اقامه دعوا نماید.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		20	ماده 20- دعاوی راجع به تَرَکه متوفی اگرچه خواسته، دِین و یا مربوط به وصایای متوفی باشد تا زمانی که تَرَکه تقسیم نشده در دادگاه محلی اقامه میشود که آخرین اقامتگاه متوفی در ایران، آن محل بوده و اگر آخرین اقامتگاه متوفی معلوم نباشد، رسیدگی به دعاوی یادشده در صلاحیت دادگاهی است که آخرین محل سکونت متوفی در ایران، در حوزه آن بوده است.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		21	ماده 21- دعوای راجع به توقف یا ورشکستگی باید در دادگاهی اقامه شود که شخص متوقف یا ورشکسته، در حوزه آن اقامت داشته است و چنانچه در ایران اقامت نداشته باشد، در دادگاهی اقامه میشود که متوقف یا ورشکسته در حوزه آن برای انجام معاملات خود شعبه یا نمایندگی داشته یا دارد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		22	ماده 22- دعاوی راجع به ورشکستگی شرکتهای بازرگانی که مرکز اصلی آنها در ایران است، همچنین دعاوی مربوط به اصل شرکت و دعاوی بین شرکت و شرکاء و اختلافات حاصله بین شرکاء و دعاوی اشخاص دیگر علیه شرکت تا زمانی که شرکت باقی است و نیز در صورت انحلال تا وقتی که تصفیه امور شرکت در جریان است، در مرکز اصلی شرکت اقامه میشود.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		23	ماده 23- دعاوی ناشی از تعهدات شرکت در مقابل اشخاص خارج از شرکت، در محلی که تعهد در آنجا واقع شده یا محلی که کالا باید در آنجا تسلیم گردد یا جایی که پول باید پرداخت شود اقامه میشود. اگر شرکت دارای شعب متعدد در جاهای مختلف باشد دعاوی ناشی از تعهدات هر شعبه یا اشخاص خارج باید در دادگاه محلی که شعبه طرف معامله در آن واقع است اقامه شود، مگر آنکه شعبه یادشده برچیده شده باشد که در این صورت نیز دعاوی در مرکز اصلی شرکت اقامه خواهد شد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		24	ماده 24- رسیدگی به دعوای اعسار به طور کلی با دادگاهی است که صلاحیت رسیدگی نخستین به دعوای اصلی را دارد یا ابتدا به آن رسیدگی نموده است.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل اول- در صلاحیت ذاتی و نسبی دادگاه‌ها		25	ماده 25- هرگاه سند ثبت احوال در ایران تنظیم شده و ذینفع مقیم خارج از کشور باشد رسیدگی با دادگاه محل صدور سند است و اگر محل تنظیم سند و اقامت خواهان هر دو خارج از کشور باشد در صلاحیت دادگاه عمومی شهرستان تهران خواهد بود.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل دوم- اختلاف در صلاحیت و ترتیب حل آن		26	ماده 26- تشخیص صلاحیت یا عدم صلاحیت هر دادگاه نسبت به دعوایی که به آن رجوع شده است با همان دادگاه است. مناط صلاحیت تاریخ تقدیم دادخواست است مگر در موردی که خلاف آن مقرر شده باشد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل دوم- اختلاف در صلاحیت و ترتیب حل آن		27	ماده 27- در صورتی که دادگاه رسیدگیکننده خود را صالح به رسیدگی نداند با صدور قرار عدم صلاحیت، پرونده را به دادگاه صلاحیتدار ارسال مینماید. دادگاه مرجوعالیه مکلف است خارج از نوبت نسبت به صلاحیت اظهارنظر نماید و چنانچه ادعای عدم صلاحیت را نپذیرد، پرونده را جهت حل اختلاف به دادگاه تجدیدنظر استان ارسال میکند. رأی دادگاه تجدیدنظر در تشخیص صلاحیت لازمالاتباع خواهد بود. تبصره- در صورتی که اختلاف صلاحیت بین دادگاههای دو حوزه قضایی از دو استان باشد، مرجع حل اختلاف به ترتیب یادشده، دیوان عالی کشور میباشد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل دوم- اختلاف در صلاحیت و ترتیب حل آن		28	ماده 28- هرگاه بین دادگاههای عمومی، نظامی و انقلاب در مورد صلاحیت، اختلاف محقق شود همچنین در مواردی که دادگاهها اعم از عمومی، نظامی و انقلاب به صلاحیت مراجع غیر قضایی از خود نفی صلاحیت کنند و یا خود را صالح بدانند، پرونده برای حل اختلاف به دیوان عالی کشور ارسال خواهد شد. رأی دیوان عالی کشور در خصوص تشخیص صلاحیت، لازمالاتباع میباشد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل دوم- اختلاف در صلاحیت و ترتیب حل آن		29	ماده 29- رسیدگی به قرارهای عدم صلاحیت در دادگاه تجدیدنظر استان و دیوان عالی کشور، خارج از نوبت خواهد بود.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب اول- در صلاحیت دادگاه‌ها	فصل دوم- اختلاف در صلاحیت و ترتیب حل آن		30	ماده 30- هرگاه بین دیوان عالی کشور و دادگاه تجدیدنظر استان و یا دادگاه تجدیدنظر استان با دادگاه بدوی در مورد صلاحیت اختلاف شود حسب مورد، نظر مرجع عالی لازمالاتباع است.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			31	ماده 31- هر یک از متداعیین میتوانند برای خود حداکثر تا دو نفر وکیل انتخاب و معرفی نمایند.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			32	ماده 32- وزارتخانهها، مؤسسات دولتی و وابسته به دولت، شرکتهای دولتی، نهادهای انقلاب اسلامی و مؤسسات عمومی غیردولتی، شهرداریها و بانکها میتوانند علاوه بر استفاده از وکلای دادگستری برای طرح هرگونه دعوا یا دفاع و تعقیب دعاوی مربوط از اداره حقوقی خود یا کارمندان رسمی خود با داشتن یکی از شرایط زیر به عنوان نماینده حقوقی استفاده نمایند: 1- دارا بودن لیسانس در رشته حقوق با دو سال سابقه کارآموزی در دفاتر حقوقی دستگاههای مربوط. 2- دو سال سابقه کار قضایی یا وکالت به شرط عدم محرومیت از اشتغال به مشاغل قضاوت یا وکالت. تشخیص احراز شرایط یادشده به عهده بالاترین مقام اجرایی سازمان یا قائممقام قانونی وی خواهد بود. ارائه معرفینامه نمایندگی حقوقی به مراجع قضایی الزامی است.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			33	ماده 33- وکلای متداعیین باید دارای شرایطی باشند که به موجب قوانین راجع به وکالت در دادگاهها برای آنان مقرر گردیده است.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			34	ماده 34- وکالت ممکن است به موجب سند رسمی یا غیررسمی باشد. در صورت اخیر، در مورد وکالتنامههای تنظیمی در ایران، وکیل میتواند ذیل وکالتنامه تأیید کند که وکالتنامه را موکل شخصاً در حضور او امضاء یا مهر کرده یا انگشت زده است. در صورتی که وکالت در خارج از ایران داده شده باشد باید به گواهی یکی از مأمورین سیاسی یا کنسولی جمهوری اسلامی ایران برسد. مرجع گواهی وکالتنامه اشخاص مقیم در کشورهای فاقد مأمور سیاسی یا کنسولی ایران به موجب آئیننامهای خواهد بود که توسط وزارت دادگستری با همکاری وزارت امور خارجه، ظرف مدت سه ماه، تهیه و به تصویب رئیس قوه قضائیه خواهد رسید. اگر وکالت در جلسه دادرسی داده شود، مراتب در صورتجلسه قید و به امضای موکل میرسد و چنانچه موکل در زندان باشد، رئیس زندان یا معاون وی باید امضاء یا اثر انگشت او را تصدیق نمایند. تبصره- در صورتی که موکل امضاء، مهر یا اثر انگشت خود را انکار نماید، دادگاه به این موضوع نیز رسیدگی خواهد نمود.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			35	ماده 35- وکالت در دادگاهها شامل تمام اختیارات راجع به امر دادرسی است جز آنچه را که موکل استثناء کرده یا توکیل در آن خلاف شرع باشد، لیکن در امور زیر باید اختیارات وکیل در وکالتنامه تصریح شود: 1- وکالت راجع به اعتراض به رأی، تجدیدنظر، فرجامخواهی و اعاده دادرسی. 2- وکالت در مصالحه و سازش. 3- وکالت در ادعای جعل یا انکار و تردید نسبت به سند طرف و استرداد سند. 4- وکالت در تعیین جاعل. 5- وکالت در ارجاع دعوا به داوری و تعیین داور. 6- وکالت در توکیل. 7- وکالت در تعیین مصدق و کارشناس. 8- وکالت در دعوای خسارت. 9- وکالت در استرداد دادخواست یا دعوا. 10- وکالت در جلب شخص ثالث و دفاع از دعوای ثالث. 11- وکالت در ورود شخص ثالث و دفاع از دعوای ورود ثالث. 12- وکالت در دعوای متقابل و دفاع در قبال آن. 13- وکالت در ادعای اعسار. 14- وکالت در قبول یا رد سوگند. تبصره 1- اشاره به شمارههای یادشده در این ماده بدون ذکر موضوع آن، تصریح محسوب نمیشود. تبصره 2- سوگند، شهادت، اقرار، لعان و ایلاء قابل توکیل نمیباشند.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			36	ماده 36- وکیل در دادرسی، در صورتی حق درخواست صدور برگ اجرایی و تعقیب عملیات آن و اخذ محکومبه و وجوه ایداعی به نام موکل را خواهد داشت که در وکالتنامه تصریح شده باشد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			37	ماده 37- اگر موکل وکیل خود را عزل نماید، مراتب را باید به دادگاه و وکیل معزول اطلاع دهد. عزل وکیل مانع از جریان دادرسی نخواهد بود. اظهار شفاهی عزل وکیل باید در صورتجلسه قید و به امضای موکل برسد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			38	ماده 38- تا زمانی که عزل وکیل به اطلاع او نرسیده است اقدامات وی در حدود وکالت، همچنین ابلاغهایی که از طرف دادگاه به وکیل میشود مؤثر در حق موکل خواهد بود، ولی پس از اطلاع دادگاه از عزل وکیل، دیگر او را در امور راجع به دادرسی، وکیل نخواهد شناخت.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			39	ماده 39- در صورتی که وکیل استعفای خود را به دادگاه اطلاع دهد، دادگاه به موکل اخطار میکند که شخصاً یا توسط وکیل جدید، دادرسی را تعقیب نماید و دادرسی تا مراجعه موکل یا معرفی وکیل جدید حداکثر به مدت یک ماه متوقف میگردد. وکیلی که دادخواست تقدیم کرده در صورت استعفاء، مکلف است آن را به اطلاع موکل خود برساند و پس از آن موضوع استعفای وکیل و اخطار رفع نقص توسط دادگاه به موکل ابلاغ میشود، رفع نقص به عهده موکل است.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			40	ماده 40- در صورت فوت وکیل یا استعفا یا عزل یا ممنوع شدن یا تعلیق از وکالت یا بازداشت وی چنانچه اخذ توضیحی لازم نباشد، دادرسی به تأخیر نمیافتد و در صورت نیاز به توضیح، دادگاه مراتب را در صورتمجلس قید میکند و با ذکر موارد توضیح به موکل اطلاع میدهد که شخصا یا توسط وکیل جدید در موعد مقرر برای ادای توضیح حاضر شود.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			41	ماده 41- وکلاء مکلفند در هنگام محاکمه حضور داشته باشند مگر اینکه دارای عذر موجهی باشند. جهات زیر عذر موجه محسوب میشود: 1- فوت یکی از بستگان نسبی یا سببی تا درجه اول از طبقه دوم. 2- ابتلاء به مرضی که مانع از حرکت بوده یا حرکت، مضر تشخیص داده شود. 3- حوادث قهری از قبیل سیل و زلزله که مانع از حضور در دادگاه باشد. 4- وقایع خارج از اختیار وکیل که مانع از حضور وی در دادگاه شود. وکیل معذور موظف است عذر خود را به طور کتبی با دلایل آن برای جلسه محاکمه به دادگاه ارسال دارد. دادگاه در صورتی به آن ترتیب اثر میدهد که عذر او را موجه بداند، در غیر این صورت جریان محاکمه را ادامه داده و مراتب را به مرجع صلاحیتدار برای تعقیب انتظامی وکیل اطلاع خواهد داد. در صورتی که جلسه دادگاه به علت عذر وکیل تجدید شود، دادگاه باید علت آن و وقت رسیدگی بعدی را به موکل اطلاع دهد. در این صورت، جلسه بعدی دادگاه به علت عدم حضور وکیل، تجدید نخواهد شد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			42	ماده 42- در صورتی که وکیل همزمان در دو یا چند دادگاه دعوت شود و جمع بین آنها ممکن نباشد، لازم است در دادگاهی که حضور او برابر قانون آیین دادرسی کیفری یا سایر قوانین الزامی باشد، حاضر شود و به دادگاههای دیگر لایحه بفرستد و یا در صورت داشتن حق توکیل، وکیل دیگری معرفی نماید.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			43	ماده 43- عزل یا استعفاء وکیل یا تعیین وکیل جدید باید در زمانی انجام شود که موجب تجدید جلسه دادگاه نگردد، در غیر این صورت دادگاه به این علت جلسه را تجدید نخواهد کرد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			44	ماده 44- در صورتی که یکی از اصحاب دعوا در دادرسی دو نفر وکیل معرفی کرده و به هیچیک از آنها به طور منفرد حق اقدام نداده باشد، ارسال لایحه توسط هر دو یا حضور یکی از آنان با وصول لایحه از وکیل دیگر برای رسیدگی دادگاه کافی است و در صورت عدم وصول لایحه از وکیل غایب، دادگاه بدون توجه به اظهارات وکیل حاضر، رسیدگی را ادامه خواهد داد. چنانچه هر دو وکیل یا یکی از آنان عذر موجهی برای عدم حضور اعلام نموده باشد، در صورت ضرورت، جلسه دادرسی تجدید و علت تجدید جلسه و وقت رسیدگی به موکل نیز اطلاع داده میشود. در این صورتجلسه بعدی دادگاه به علت عدم حضور وکیل تجدید نخواهد شد.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			45	ماده 45- وکیلی که در وکالتنامه حق اقدام یا حق تعیین وکیل مجاز در دادگاه تجدیدنظر و دیوان عالی کشور را داشته باشد، هرگاه پس از صدور رأی یا در موقع ابلاغ آن استعفاء و از رؤیت رأی امتناع نماید، باید دادگاه رأی را به موکل ابلاغ نماید در این صورت ابتدای مدت تجدیدنظر و فرجام، روز ابلاغ به وکیل یادشده محسوب است مگر اینکه موکل ثابت نماید از استعفاء وکیل بیاطلاع بوده در این صورت ابتدای مدت از روز اطلاع وی محسوب خواهد شد و چنانچه از جهت اقدام وکیل ضرر و زیانی به موکل وارد شود، وکیل مسؤول میباشد.در خصوص این ماده، دادخواست تجدیدنظر و فرجام وکیل مستعفی قبول میشود و مدیر دفتر دادگاه مکلف است به طور کتبی به موکل اخطار نماید که شخصاً اقدام کرده یا وکیل جدید معرفی کند و یا اگر دادخواست ناقص باشد، نقص آن را برطرف نماید.
tashkil_dadgah_omoor_madani	قانون آیین دادرسی دادگاه‌های عمومی و انقلاب در امور مدنی	کتاب اول- در امور مدنی	باب دوم- وکالت در دعاوی			46	ماده 46- ابلاغ دادنامه به وکیلی که حق دادرسی در دادگاه بالاتر را ندارد یا برای وکالت در آن دادگاه مجاز نباشد و وکیل در توکیل نیز نباشد، معتبر نخواهد بود.
